id,img_url,name,gender,category,type,abilities,weakness,height,weight,attack,defense,hp,special_attack,special_defense,speed,version_x,version_y
1,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/001.png,Bulbasaur,"male, female",Seed,"Grass, Poison",Overgrow,"Fire, Ice, Flying, Psychic",71.12,6.84,3,3,3,4,4,3,"For some time after its birth, it uses the nutrients that are packed into the seed on its back in order to grow.","It carries a seed on its back right from birth. As its body grows larger, the seed does too."
2,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/002.png,Ivysaur,"male, female",Seed,"Grass, Poison",Overgrow,"Fire, Ice, Flying, Psychic",99.06,12.91,4,4,4,5,5,4,"The more sunlight Ivysaur bathes in, the more strength wells up within it, allowing the bud on its back to grow larger.",The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.
3,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/003.png,Venusaur,"male, female",Seed,"Grass, Poison",Overgrow,"Fire, Ice, Flying, Psychic",200.66,99.22,5,5,5,6,6,5,"While it basks in the sun, it can convert the light into energy. As a result, it is more powerful in the summertime.","By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
4,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/004.png,Charmander,"male, female",Lizard,Fire,Blaze,"Water, Ground, Rock",60.96,8.41,4,3,3,4,3,4,"The flame on its tail shows the strength of its life-force. If Charmander is weak, the flame also burns weakly.","If Charmander is healthy, the flame on the tip of its tail will burn vigorously and won’t go out even if it gets a bit wet."
5,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/005.png,Charmeleon,"male, female",Flame,Fire,Blaze,"Water, Ground, Rock",109.22,18.86,4,4,4,5,4,5,"When it swings its burning tail, the temperature around it rises higher and higher, tormenting its opponents.","It is very hotheaded by nature, so it constantly seeks opponents to battle against. Its aggression will not be quelled if it doesn’t win."
6,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/006.png,Charizard,"male, female",Flame,"Fire, Flying",Blaze,"Water, Electric, Rock,",170.18,89.78,5,5,5,7,5,6,"If Charizard becomes truly angered, the flame at the tip of its tail burns in a light blue shade.","It uses its wings to fly sky-high. The more experience it gains in battle, the greater the temperature at which its flames burn."
7,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/007.png,Squirtle,"male, female",Tiny Turtle,Water,Torrent,"Grass, Electric",50.8,8.91,3,4,3,3,4,3,"After birth, its back swells and hardens into a shell. It sprays a potent foam from its mouth.","Its shell is soft immediately after it is born. In no time at all, the shell becomes so resilient that a prodding finger will bounce right off it."
8,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/008.png,Wartortle,"male, female",Turtle,Water,Torrent,"Grass, Electric",99.06,22.32,4,5,4,4,5,4,"Wartortle’s long, furry tail is a symbol of longevity, so this Pokémon is quite popular among older people.","It often hides in water to stalk unwary prey. While swimming quickly, it moves its ears to maintain balance."
9,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/009.png,Blastoise,"male, female",Shellfish,Water,Torrent,"Grass, Electric",160.02,84.83,5,6,5,5,7,5,It deliberately increases its body weight so it can withstand the recoil of the water jets it fires.,It has jet nozzles on its shell. This impressive Pokémon uses these jets to charge toward foes with all the force of a rocket.
10,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/full/010.png,Caterpie,"male, female",Worm,Bug,Shield Dust,"Fire, Flying, Rock",30.48,2.88,2,3,3,2,2,3,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
